,F_fraction_x,F_fraction_y,comp,density,e_above_hull_x,e_above_hull_y,elements_hash,elements_x,elements_y,final_energy_per_atom_x,final_energy_per_atom_y,plotlabel,plotlabel_y,pretty_formula,pretty_formula_2,spacegroup,spacegroup_y,unit_cell_formula_x,unit_cell_formula_y,volume_x,volume_y,source,molmass,mAh/g,Wh/L,n_cc,n_total,n_diff,correction,voltage,volume_change,Wh/kg,label
21,3.0,2.0,1.0,3.396809423561567,0.0,0.0,-3.415375303707525e+18,['Co'],['Co'],-4.613672344375,-5.141385285,$\mathsf{CoF_{3}}$,$\mathsf{CoF_{2}}$,CoF3,CoF2,I4/mcm,P4_2/mnm,"{'Co': 4.0, 'F': 12.0}","{'Co': 2.0, 'F': 4.0}",56.67190023427052,36.26038346929634,Calculated,115.928403489,231.1899667672305,1476.3408638403605,1.0,4.0,3.0,1.0,1.8799507699999989,56.29150828550317,434.6257560403291,CoF3/CoF2
22,7.0,5.0,1.0,2.922964710438197,0.0,0.0,-7.036849609442669e+18,['I'],['I'],-3.152993069375,-3.433178221,$\mathsf{IF_{7}}$,$\mathsf{IF_{5}}$,IF7,IF5,Aea2,C2/c,"{'I': 2.0, 'F': 14.0}","{'I': 10.0, 'F': 50.0}",147.64562967056793,103.89955098286688,Calculated,259.89329214099996,206.24990763870414,700.4372181425673,2.0,8.0,6.0,1.0,1.1618548620000002,42.10420379479292,239.63245797707938,IF7/IF5
23,4.0,3.0,1.0,6.584055634550842,0.0,0.0,2.108386836873353e+18,['U'],['U'],-7.383385582666667,-7.645436499583333,$\mathsf{UF_{4}}$,$\mathsf{UF_{3}}$,UF4,UF3,C2/c,P6_3cm,"{'U': 6.0, 'F': 24.0}","{'U': 6.0, 'F': 18.0}",79.19839926098403,55.3856707816083,Calculated,314.022522652,85.34892186603258,2913.444281362279,1.0,5.0,4.0,1.0,5.1845991625,42.99438490737416,442.49994882691044,UF4/UF3
24,4.0,3.0,1.0,6.4846583726657965,0.0,0.0,-7.732171886783112e+17,['Ir'],['Ir'],-4.641285311,-4.90663292,$\mathsf{IrF_{4}}$,$\mathsf{IrF_{3}}$,IrF4,IrF3,Fdd2,R-3c,"{'Ir': 2.0, 'F': 8.0}","{'Ir': 2.0, 'F': 6.0}",68.68121264621622,51.56230561941978,Calculated,268.210612652,99.92700693307239,1574.176040796067,1.0,5.0,4.0,1.0,2.4293121225000007,33.20042969596959,242.7538893076544,IrF4/IrF3
25,3.0,2.0,1.0,7.932252075334612,0.0,0.0,6.151732240259353e+18,['Yb'],['Yb'],-4.88789458,-5.946831296666667,$\mathsf{YbF_{3}}$,$\mathsf{YbF_{2}}$,YbF3,YbF2,Pnma,P4_2/mnm,"{'Yb': 4.0, 'F': 12.0}","{'Yb': 2.0, 'F': 4.0}",48.15561187498013,46.4678039780508,Calculated,230.049209489,116.50326384312804,517.9782404473673,1.0,4.0,3.0,1.0,0.5605016774999996,3.632209298564161,65.30027481829832,YbF3/YbF2
26,6.0,4.0,1.0,2.830918955006563,0.0,0.0,-1.9707803286752696e+18,['Ru'],['Ru'],-4.4701378557142855,-4.944802923999999,$\mathsf{RuF_{6}}$,$\mathsf{RuF_{4}}$,RuF6,RuF4,Im-3m,P2_1/c,"{'Ru': 1.0, 'F': 6.0}","{'Ru': 2.0, 'F': 8.0}",126.14851694337702,67.63799727575797,Calculated,215.06041897799997,249.2460851454187,1504.9592317559188,2.0,7.0,5.0,1.0,2.1328924325000003,86.50539936756778,531.6150888369143,RuF6/RuF4
27,6.0,3.0,1.0,2.830918955006563,0.0,0.0,-1.9707803286752696e+18,['Ru'],['Ru'],-4.4701378557142855,-5.29536720875,$\mathsf{RuF_{6}}$,$\mathsf{RuF_{3}}$,RuF6,RuF3,Im-3m,R-3c,"{'Ru': 1.0, 'F': 6.0}","{'Ru': 2.0, 'F': 6.0}",126.14851694337702,52.03984240888259,Calculated,215.06041897799997,373.869127718128,2348.8383681173236,3.0,7.0,4.0,1.0,2.219249299166666,142.40756909333942,829.7087996685084,RuF6/RuF3
28,6.0,4.0,1.0,2.7358666599538037,0.0,0.0,-4.1857927392994934e+18,['Tc'],['Tc'],-5.024222698571428,-5.556591415,$\mathsf{TcF_{6}}$,$\mathsf{TcF_{4}}$,TcF6,TcF4,Im-3m,Pbca,"{'Tc': 1.0, 'F': 6.0}","{'Tc': 8.0, 'F': 32.0}",128.667956658551,80.79795251037218,Calculated,211.897618978,252.96635119607106,1759.769990781379,2.0,7.0,5.0,1.0,2.5427181549999993,59.24655595948875,643.2221337903557,TcF6/TcF4
29,2.0,1.0,1.0,1.984440595835843,0.0,0.0,2.2296337176334295e+18,['K'],['K'],-3.4624860133333333,-4.21585948,$\mathsf{KF_{2}}$,$\mathsf{KF}$,KF2,KF,P4_2/mnm,Fm-3m,"{'K': 2.0, 'F': 4.0}","{'K': 1.0, 'F': 1.0}",64.51159903174732,39.892863219729406,Calculated,77.095106326,347.6418287390222,555.4568653619922,1.0,3.0,2.0,1.0,0.8051563275000007,61.71213050419124,279.90601811289525,KF2/KF
30,6.0,3.0,1.0,4.4852693499696255,0.0,0.0,-6.92907320230148e+18,['Np'],['Np'],-6.560785995000001,-8.0926164125,$\mathsf{NpF_{6}}$,$\mathsf{NpF_{3}}$,NpF6,NpF3,Pnma,P6_3/mmc,"{'Np': 4.0, 'F': 24.0}","{'Np': 2.0, 'F': 6.0}",129.94388020149955,54.34745838751208,Calculated,351.038618978,229.0473096210507,3459.833537472658,3.0,7.0,4.0,1.0,3.367762685833334,139.09835723128862,771.3769826322889,NpF6/NpF3
